last_name, first_name,bat_side,year,b_ab,batting_avg,slg_percent,b_game,xba,xslg,woba,xwoba,xbadiff,xslgdiff,wobadif
Martinez,Victor,S,2018,467,0.251,0.353,133,0.27,0.418,0.281,0.32,-0.019,-0.065,-0.039
Mauer,Joe,L,2018,486,0.282,0.379,127,0.298,0.455,0.319,0.359,-0.016,-0.076,-0.04
Choo,Shin-Soo,L,2018,560,0.264,0.434,146,0.253,0.471,0.356,0.367,0.011,-0.037,-0.011
Molina,Yadier,R,2018,459,0.261,0.436,123,0.271,0.443,0.323,0.338,-0.01,-0.007,-0.015
Encarnacion,Edwin,R,2018,500,0.246,0.474,137,0.247,0.486,0.346,0.362,-0.001,-0.012,-0.016
Jones,Adam,R,2018,580,0.281,0.419,145,0.271,0.418,0.315,0.315,0.01,0.001,0
Kinsler,Ian,R,2018,487,0.24,0.38,128,0.251,0.376,0.298,0.307,-0.011,0.004,-0.009
Desmond,Ian,R,2018,555,0.236,0.422,160,0.23,0.39,0.315,0.306,0.006,0.032,0.009
Cruz,Nelson,R,2018,519,0.256,0.509,144,0.282,0.561,0.361,0.395,-0.026,-0.052,-0.034
Peralta,David,L,2018,560,0.293,0.516,146,0.282,0.48,0.368,0.357,0.011,0.036,0.011
Escobar,Alcides,R,2018,485,0.231,0.313,140,0.242,0.336,0.261,0.282,-0.011,-0.023,-0.021
Jay,Jon,L,2018,527,0.268,0.347,143,0.256,0.343,0.301,0.301,0.012,0.004,0
Longoria,Evan,R,2018,480,0.244,0.413,125,0.254,0.433,0.295,0.315,-0.01,-0.02,-0.02
Davis,Chris,L,2018,470,0.168,0.296,128,0.191,0.363,0.239,0.278,-0.023,-0.067,-0.039
Zobrist,Ben,S,2018,455,0.305,0.44,139,0.277,0.4,0.355,0.34,0.028,0.04,0.015
Cabrera,Asdrubal,S,2018,546,0.262,0.458,147,0.256,0.446,0.332,0.33,0.006,0.012,0.002
Blackmon,Charlie,L,2018,626,0.291,0.502,156,0.28,0.451,0.368,0.352,0.011,0.051,0.016
Markakis,Nick,L,2018,623,0.297,0.44,162,0.296,0.434,0.345,0.351,0.001,0.006,-0.006
Nunez,Eduardo,R,2018,480,0.265,0.388,127,0.268,0.364,0.292,0.295,-0.003,0.024,-0.003
Cain,Lorenzo,R,2018,539,0.308,0.417,141,0.289,0.399,0.359,0.35,0.019,0.018,0.009
McCutchen,Andrew,R,2018,569,0.255,0.424,155,0.266,0.454,0.347,0.368,-0.011,-0.03,-0.021
Upton,Justin,R,2018,533,0.257,0.463,145,0.257,0.475,0.348,0.361,0,-0.012,-0.013
Votto,Joey,L,2018,503,0.284,0.419,145,0.288,0.484,0.37,0.398,-0.004,-0.065,-0.028
Gardner,Brett,L,2018,530,0.236,0.368,140,0.233,0.345,0.305,0.302,0.003,0.023,0.003
Gordon,Alex,L,2018,506,0.245,0.37,141,0.26,0.44,0.305,0.339,-0.014,-0.07,-0.034
Kemp,Matt,R,2018,462,0.29,0.481,146,0.275,0.526,0.348,0.363,0.015,-0.045,-0.015
Santana,Carlos,S,2018,560,0.229,0.414,161,0.249,0.424,0.333,0.352,-0.02,-0.01,-0.019
Gonzalez,Carlos,L,2018,463,0.276,0.467,132,0.247,0.389,0.338,0.303,0.029,0.078,0.035
Alonso,Yonder,L,2018,516,0.25,0.421,145,0.258,0.451,0.319,0.338,-0.008,-0.03,-0.019
Smoak,Justin,L,2018,505,0.242,0.457,147,0.226,0.44,0.349,0.341,0.016,0.017,0.008
Lowrie,Jed,S,2018,596,0.267,0.448,157,0.252,0.424,0.348,0.337,0.015,0.024,0.011
Brantley,Michael,L,2018,570,0.309,0.468,143,0.309,0.46,0.359,0.365,0,0.008,-0.006
Gurriel,Yuli,R,2018,537,0.291,0.428,136,0.263,0.368,0.323,0.298,0.028,0.06,0.025
Solarte,Yangervis,S,2018,468,0.226,0.378,122,0.253,0.392,0.284,0.306,-0.026,-0.013,-0.022
Rojas,Miguel,R,2018,488,0.252,0.346,153,0.268,0.354,0.282,0.296,-0.016,-0.008,-0.014
Escobar,Eduardo,S,2018,566,0.272,0.489,151,0.251,0.437,0.346,0.328,0.021,0.052,0.018
Martinez,Jose,R,2018,534,0.305,0.457,152,0.309,0.523,0.356,0.387,-0.004,-0.066,-0.031
Davis,Khris,R,2018,576,0.247,0.549,151,0.25,0.571,0.365,0.38,-0.003,-0.022,-0.015
Pham,Tommy,R,2018,494,0.275,0.464,137,0.293,0.514,0.359,0.387,-0.018,-0.05,-0.028
Martinez,J.D.,R,2018,569,0.33,0.629,150,0.313,0.626,0.428,0.425,0.017,0.003,0.003
Goldschmidt,Paul,R,2018,593,0.29,0.533,158,0.274,0.538,0.39,0.389,0.016,-0.005,0.001
Gonzalez,Marwin,S,2018,489,0.247,0.409,145,0.246,0.42,0.318,0.325,0.001,-0.011,-0.007
Altuve,Jose,R,2018,534,0.316,0.451,137,0.291,0.461,0.364,0.361,0.025,-0.01,0.003
Hernandez,Cesar,S,2018,605,0.253,0.362,161,0.244,0.361,0.32,0.322,0.009,0.001,-0.002
Segura,Jean,R,2018,586,0.304,0.415,144,0.28,0.402,0.327,0.318,0.024,0.013,0.009
Castro,Starlin,R,2018,593,0.278,0.4,154,0.263,0.412,0.316,0.32,0.015,-0.012,-0.004
Marte,Starling,R,2018,559,0.277,0.46,145,0.27,0.463,0.337,0.341,0.007,-0.003,-0.004
Dietrich,Derek,L,2018,499,0.265,0.421,149,0.242,0.39,0.327,0.31,0.023,0.031,0.017
Freeman,Freddie,L,2018,618,0.309,0.505,162,0.298,0.539,0.378,0.392,0.011,-0.034,-0.014
Grandal,Yasmani,S,2018,440,0.241,0.466,140,0.228,0.455,0.352,0.347,0.013,0.011,0.005
LeMahieu,DJ,R,2018,533,0.276,0.428,128,0.282,0.429,0.323,0.333,-0.006,-0.001,-0.01
Moustakas,Mike,L,2018,573,0.251,0.459,152,0.26,0.466,0.329,0.34,-0.009,-0.007,-0.011
Rizzo,Anthony,L,2018,566,0.283,0.47,153,0.293,0.474,0.359,0.371,-0.01,-0.004,-0.012
Stanton,Giancarlo,R,2018,617,0.266,0.509,158,0.246,0.476,0.36,0.348,0.02,0.033,0.012
Galvis,Freddy,S,2018,602,0.248,0.38,162,0.221,0.35,0.294,0.28,0.027,0.03,0.014
Perez,Salvador,R,2018,510,0.235,0.439,129,0.262,0.486,0.304,0.341,-0.027,-0.047,-0.037
Inciarte,Ender,L,2018,597,0.265,0.38,156,0.257,0.347,0.309,0.303,0.008,0.033,0.006
Ozuna,Marcell,R,2018,582,0.28,0.433,148,0.288,0.502,0.327,0.363,-0.008,-0.069,-0.036
Villar,Jonathan,S,2018,466,0.26,0.384,141,0.227,0.361,0.312,0.295,0.033,0.023,0.017
Aguilar,Jesus,R,2018,492,0.274,0.539,149,0.256,0.498,0.374,0.363,0.018,0.041,0.011
Crawford,Brandon,L,2018,531,0.254,0.394,151,0.257,0.385,0.306,0.313,-0.003,0.009,-0.007
Cron,C.J.,R,2018,501,0.253,0.493,140,0.251,0.485,0.347,0.348,0.002,0.008,-0.001
Hicks,Aaron,S,2018,480,0.248,0.467,137,0.265,0.473,0.36,0.376,-0.017,-0.006,-0.016
Hosmer,Eric,L,2018,613,0.253,0.398,157,0.252,0.389,0.31,0.313,0.001,0.009,-0.003
Kipnis,Jason,L,2018,530,0.23,0.389,147,0.242,0.404,0.309,0.325,-0.012,-0.015,-0.016
Rendon,Anthony,R,2018,529,0.308,0.535,136,0.308,0.552,0.383,0.394,0,-0.017,-0.011
Semien,Marcus,R,2018,632,0.255,0.388,159,0.246,0.385,0.308,0.309,0.009,0.003,-0.001
Shaw,Travis,L,2018,498,0.241,0.48,152,0.246,0.465,0.351,0.353,-0.005,0.016,-0.002
Springer,George,R,2018,544,0.265,0.434,140,0.255,0.463,0.34,0.351,0.01,-0.029,-0.011
Strange-Gordon,Dee,L,2018,556,0.268,0.349,141,0.274,0.336,0.277,0.285,-0.006,0.013,-0.008
Gregorius,Didi,L,2018,504,0.268,0.494,134,0.264,0.41,0.35,0.327,0.004,0.084,0.023
Trout,Mike,R,2018,471,0.312,0.628,140,0.295,0.601,0.447,0.436,0.017,0.027,0.011
Herrera,Odubel,L,2018,550,0.255,0.42,148,0.233,0.362,0.315,0.289,0.022,0.058,0.026
Harper,Bryce,L,2018,550,0.249,0.496,159,0.263,0.518,0.376,0.393,-0.014,-0.022,-0.017
Abreu,Jose,R,2018,499,0.265,0.473,128,0.281,0.498,0.337,0.361,-0.016,-0.025,-0.024
Suarez,Eugenio,R,2018,527,0.283,0.526,143,0.28,0.522,0.377,0.381,0.003,0.004,-0.004
Polanco,Gregory,L,2018,461,0.254,0.499,130,0.248,0.454,0.353,0.346,0.006,0.045,0.007
Sanchez,Yolmer,S,2018,600,0.242,0.372,155,0.24,0.352,0.297,0.295,0.002,0.02,0.002
Arenado,Nolan,R,2018,590,0.297,0.561,156,0.267,0.476,0.391,0.355,0.03,0.085,0.036
Barnhart,Tucker,L,2018,460,0.248,0.372,138,0.24,0.356,0.307,0.305,0.008,0.016,0.002
Gennett,Scooter,L,2018,584,0.31,0.49,154,0.258,0.411,0.362,0.317,0.052,0.079,0.045
Hamilton,Billy,S,2018,504,0.236,0.327,153,0.228,0.276,0.277,0.265,0.008,0.051,0.012
Haniger,Mitch,R,2018,596,0.285,0.493,157,0.282,0.507,0.367,0.378,0.003,-0.014,-0.011
Piscotty,Stephen,R,2018,546,0.267,0.491,151,0.269,0.494,0.351,0.359,-0.002,-0.003,-0.008
Seager,Kyle,L,2018,583,0.221,0.4,155,0.25,0.421,0.288,0.312,-0.029,-0.021,-0.024
Carpenter,Matt,L,2018,564,0.257,0.523,156,0.27,0.553,0.375,0.397,-0.013,-0.03,-0.022
Dickerson,Corey,L,2018,504,0.3,0.474,135,0.292,0.461,0.341,0.34,0.008,0.013,0.001
Dozier,Brian,R,2018,553,0.215,0.391,151,0.21,0.358,0.304,0.298,0.005,0.033,0.006
Contreras,Willson,R,2018,474,0.249,0.39,138,0.224,0.364,0.321,0.307,0.025,0.026,0.014
Castellanos,Nick,R,2018,620,0.298,0.5,157,0.299,0.535,0.363,0.381,-0.001,-0.035,-0.018
Healy,Ryon,R,2018,493,0.235,0.412,133,0.262,0.445,0.296,0.326,-0.027,-0.033,-0.03
Machado,Manny,R,2018,632,0.297,0.538,162,0.292,0.523,0.377,0.378,0.005,0.015,-0.001
Realmuto,J.T.,R,2018,477,0.277,0.484,125,0.278,0.486,0.353,0.361,-0.001,-0.002,-0.008
Rosario,Eddie,L,2018,559,0.288,0.479,138,0.245,0.432,0.34,0.307,0.043,0.047,0.033
Simmons,Andrelton,R,2018,554,0.292,0.417,146,0.282,0.403,0.326,0.326,0.01,0.014,0
Yelich,Christian,L,2018,574,0.326,0.598,147,0.323,0.575,0.422,0.422,0.003,0.023,0
Merrifield,Whit,R,2018,632,0.304,0.438,158,0.283,0.437,0.349,0.349,0.021,0.001,0
Bogaerts,Xander,R,2018,513,0.288,0.522,136,0.285,0.505,0.374,0.373,0.004,0.018,0.001
Calhoun,Kole,L,2018,491,0.208,0.369,137,0.25,0.456,0.283,0.337,-0.042,-0.087,-0.054
Profar,Jurickson,S,2018,524,0.254,0.458,146,0.255,0.4,0.341,0.329,-0.001,0.058,0.012
Baez,Javier,R,2018,606,0.29,0.554,160,0.272,0.508,0.366,0.348,0.018,0.046,0.018
Lindor,Francisco,S,2018,661,0.277,0.519,158,0.293,0.52,0.368,0.381,-0.016,-0.001,-0.013
Odor,Rougned,L,2018,474,0.253,0.424,129,0.244,0.417,0.325,0.324,0.009,0.007,0.001
Story,Trevor,R,2018,598,0.291,0.567,157,0.265,0.513,0.384,0.358,0.026,0.054,0.026
Kepler,Max,L,2018,532,0.224,0.408,156,0.236,0.41,0.317,0.328,-0.012,-0.002,-0.011
Bradley Jr.,Jackie,L,2018,474,0.234,0.403,144,0.264,0.468,0.31,0.351,-0.03,-0.065,-0.041
Candelario,Jeimer,S,2018,539,0.224,0.393,144,0.209,0.352,0.311,0.295,0.015,0.041,0.016
Ahmed,Nick,R,2018,516,0.234,0.411,153,0.241,0.377,0.3,0.296,-0.007,0.034,0.004
Anderson,Brian,R,2018,590,0.273,0.4,156,0.261,0.412,0.333,0.338,0.012,-0.012,-0.005
Bell,Josh,S,2018,501,0.261,0.411,148,0.262,0.425,0.336,0.347,-0.001,-0.014,-0.011
Betts,Mookie,R,2018,520,0.346,0.64,136,0.316,0.618,0.449,0.44,0.03,0.022,0.009
Smith,Mallex,L,2018,480,0.296,0.406,141,0.262,0.349,0.34,0.31,0.034,0.057,0.03
Hernandez,Teoscar,R,2018,476,0.239,0.468,134,0.238,0.506,0.328,0.347,0.001,-0.038,-0.019
Peraza,Jose,R,2018,632,0.288,0.416,157,0.28,0.389,0.319,0.313,0.008,0.027,0.006
Marte,Ketel,S,2018,520,0.26,0.437,153,0.263,0.402,0.33,0.327,-0.003,0.035,0.003
Nimmo,Brandon,L,2018,433,0.263,0.483,140,0.24,0.399,0.385,0.355,0.023,0.084,0.03
Turner,Trea,R,2018,664,0.271,0.416,162,0.277,0.424,0.331,0.342,-0.006,-0.008,-0.011
Pillar,Kevin,R,2018,512,0.252,0.426,142,0.282,0.437,0.302,0.325,-0.03,-0.011,-0.023
Ramirez,Jose,S,2018,578,0.27,0.552,157,0.267,0.48,0.392,0.372,0.003,0.072,0.02
